"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,136,"MYS","Malaysia",1,"Johor","State","State",NA,"Johor Darul Takzim|Johore"
2,136,"MYS","Malaysia",2,"Kedah","State","State",NA,"Kedah Darul Aman"
3,136,"MYS","Malaysia",3,"Kelantan","State","State",NA,NA
4,136,"MYS","Malaysia",4,"Melaka","State","State",NA,"Malacca|Malaka"
5,136,"MYS","Malaysia",5,"Negeri Sembilan","State","State",NA,"Negeri Sembilan Darul Khusus|Negri Sembilan"
6,136,"MYS","Malaysia",6,"Pahang","State","State",NA,"Pahang Darul Makmur"
7,136,"MYS","Malaysia",7,"Perak","State","State",NA,"Perak Darul Ridzuan"
8,136,"MYS","Malaysia",8,"Perlis","State","State",NA,"Perlis Indra Kayangan"
9,136,"MYS","Malaysia",9,"Pulau Pinang","State","State",NA,"Penang and Province Wellesley|Penang"
10,136,"MYS","Malaysia",10,"Sabah","State","State",NA,"North Borneo"
11,136,"MYS","Malaysia",11,"Sarawak","State","State",NA,NA
12,136,"MYS","Malaysia",12,"Selangor","State","State",NA,"Selangor Darul Ehsan"
13,136,"MYS","Malaysia",13,"Trengganu","State","State",NA,"Terengganu Darul Iman"
