"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,136,"MYS","Malaysia",1,"Johor",1,"Batu Pahat","District","District",NA,NA
2,136,"MYS","Malaysia",1,"Johor",2,"Johor Baharu","District","District",NA,"Johor Bahru"
3,136,"MYS","Malaysia",1,"Johor",3,"Keluang","District","District",NA,NA
4,136,"MYS","Malaysia",1,"Johor",4,"Kota Tinggi","District","District",NA,NA
5,136,"MYS","Malaysia",1,"Johor",5,"Mersing","District","District",NA,NA
6,136,"MYS","Malaysia",1,"Johor",6,"Muar","District","District",NA,NA
7,136,"MYS","Malaysia",1,"Johor",7,"Pontian","District","District",NA,NA
8,136,"MYS","Malaysia",1,"Johor",8,"Segamat","District","District",NA,NA
9,136,"MYS","Malaysia",2,"Kedah",9,"Baling","District","District",NA,NA
10,136,"MYS","Malaysia",2,"Kedah",10,"Bandar Baharu","District","District",NA,NA
11,136,"MYS","Malaysia",2,"Kedah",11,"Kota Setar","District","District",NA,NA
12,136,"MYS","Malaysia",2,"Kedah",12,"Kuala Muda","District","District",NA,NA
13,136,"MYS","Malaysia",2,"Kedah",13,"Kubang Pasu","District","District",NA,NA
14,136,"MYS","Malaysia",2,"Kedah",14,"Kulim","District","District",NA,NA
15,136,"MYS","Malaysia",2,"Kedah",15,"Langkawi","District","District",NA,NA
16,136,"MYS","Malaysia",2,"Kedah",16,"Padang Terap","District","District",NA,NA
17,136,"MYS","Malaysia",2,"Kedah",17,"Pendang","District","District",NA,NA
18,136,"MYS","Malaysia",2,"Kedah",18,"Sik","District","District",NA,NA
19,136,"MYS","Malaysia",2,"Kedah",19,"Yan","District","District",NA,NA
20,136,"MYS","Malaysia",3,"Kelantan",20,"Bachok","District","District",NA,"Bachor"
21,136,"MYS","Malaysia",3,"Kelantan",21,"Gua Musang","District","District",NA,NA
22,136,"MYS","Malaysia",3,"Kelantan",22,"Kota Bharu","District","District",NA,NA
23,136,"MYS","Malaysia",3,"Kelantan",23,"Kuala Krai","District","District",NA,NA
24,136,"MYS","Malaysia",3,"Kelantan",24,"Machang","District","District",NA,NA
25,136,"MYS","Malaysia",3,"Kelantan",25,"Pasir Mas","District","District",NA,NA
26,136,"MYS","Malaysia",3,"Kelantan",26,"Pasir Putih","District","District",NA,NA
27,136,"MYS","Malaysia",3,"Kelantan",27,"Tanah Merah","District","District",NA,NA
28,136,"MYS","Malaysia",3,"Kelantan",28,"Tumpat","District","District",NA,NA
29,136,"MYS","Malaysia",4,"Melaka",29,"Alor Gajah","District","District",NA,NA
30,136,"MYS","Malaysia",4,"Melaka",30,"Jasin","District","District",NA,NA
31,136,"MYS","Malaysia",4,"Melaka",31,"Melaka Tengah","District","District",NA,NA
32,136,"MYS","Malaysia",5,"Negeri Sembilan",32,"Jelebu","District","District",NA,NA
33,136,"MYS","Malaysia",5,"Negeri Sembilan",33,"Jempol","District","District",NA,NA
34,136,"MYS","Malaysia",5,"Negeri Sembilan",34,"Kuala Pilah","District","District",NA,NA
35,136,"MYS","Malaysia",5,"Negeri Sembilan",35,"Port Dickson","District","District",NA,"Pontai"
36,136,"MYS","Malaysia",5,"Negeri Sembilan",36,"Rembau","District","District",NA,NA
37,136,"MYS","Malaysia",5,"Negeri Sembilan",37,"Seremban","District","District",NA,NA
38,136,"MYS","Malaysia",5,"Negeri Sembilan",38,"Tampin","District","District",NA,NA
39,136,"MYS","Malaysia",6,"Pahang",39,"Bentong","District","District",NA,"Bentung"
40,136,"MYS","Malaysia",6,"Pahang",40,"Bera","District","District",NA,NA
41,136,"MYS","Malaysia",6,"Pahang",41,"Cameron Highlands","District","District",NA,NA
42,136,"MYS","Malaysia",6,"Pahang",42,"Jerantut","District","District",NA,NA
43,136,"MYS","Malaysia",6,"Pahang",43,"Kuantan","District","District",NA,NA
44,136,"MYS","Malaysia",6,"Pahang",44,"Lipis","District","District",NA,NA
45,136,"MYS","Malaysia",6,"Pahang",45,"Maran","District","District",NA,NA
46,136,"MYS","Malaysia",6,"Pahang",46,"Pekan","District","District",NA,NA
47,136,"MYS","Malaysia",6,"Pahang",47,"Raub","District","District",NA,NA
48,136,"MYS","Malaysia",6,"Pahang",48,"Rompin","District","District",NA,NA
