osm_id,code,fclass,name,type,center,area
20065566,1500,building,,residential,"(101.54837175999998, 101.54837175999998)",173.26904296875
20065594,1500,building,,residential,"(101.54879508888888, 101.54879508888888)",87.02880859375
20065624,1500,building,,residential,"(101.54895577777776, 101.54895577777776)",221.05078125
20065646,1500,building,,residential,"(101.54947354, 101.54947354)",125.54296875
20065689,1500,building,,residential,"(101.54926236, 101.54926236)",169.3291015625
22988102,1500,building,Ara,residential,"(101.56134078000001, 101.56134078000001)",161.5595703125
22988103,1500,building,Bidara,residential,"(101.56138352, 101.56138352)",156.80078125
23037090,1500,building,Sri Acappella,residential,"(101.54811586153846, 101.54811586153846)",288.251953125
23798506,1500,building,,residential,"(101.53617943999998, 101.53617943999998)",70.923828125
23798508,1500,building,,residential,"(101.53651208, 101.53651208)",89.77880859375
23798509,1500,building,,residential,"(101.53591842, 101.53591842)",64.56591796875
23798511,1500,building,,residential,"(101.53598023999999, 101.53598023999999)",19.74365234375
23798513,1500,building,,residential,"(101.53656003999998, 101.53656003999998)",67.61572265625
23798520,1500,building,,residential,"(101.5355703, 101.5355703)",69.0615234375
23798521,1500,building,,residential,"(101.53625425999999, 101.53625425999999)",56.25
23798522,1500,building,,residential,"(101.53625706, 101.53625706)",54.580078125
23798524,1500,building,,residential,"(101.53575706000001, 101.53575706000001)",69.810546875
24522091,1500,building,Selangor Mansion,residential,"(101.69731814, 101.69731814)",118.8896484375
24582327,1500,building,,residential,"(101.70473836000001, 101.70473836000001)",60.78955078125
24582328,1500,building,,residential,"(101.70444458, 101.70444458)",33.66650390625
24582329,1500,building,,residential,"(101.70427526666667, 101.70427526666667)",39.02490234375
24582341,1500,building,,residential,"(101.70597947777777, 101.70597947777777)",141.44580078125
24582343,1500,building,,residential,"(101.70653049999999, 101.70653049999999)",57.359375
24582347,1500,building,,residential,"(101.70683577499999, 101.70683577499999)",100.1123046875
24582348,1500,building,,residential,"(101.70620342, 101.70620342)",63.82958984375
26023353,1500,building,,residential,"(101.72569304000001, 101.72569304000001)",59.41796875
26023354,1500,building,,residential,"(101.72507228, 101.72507228)",60.43310546875
26023355,1500,building,,residential,"(101.72545476, 101.72545476)",60.0263671875
26023356,1500,building,,residential,"(101.72610702, 101.72610702)",53.51416015625
26775217,1500,building,C2,residential,"(101.73695904, 101.73695904)",34.1005859375
26775218,1500,building,C1,residential,"(101.73713264, 101.73713264)",34.1005859375
26775219,1500,building,C3,residential,"(101.73729308, 101.73729308)",26.16455078125
26775221,1500,building,C4,residential,"(101.73720599999999, 101.73720599999999)",26.16845703125
26775222,1500,building,C5,residential,"(101.73781416, 101.73781416)",36.49560546875
26775223,1500,building,C6,residential,"(101.73779901999998, 101.73779901999998)",36.46826171875
26775224,1500,building,C7,residential,"(101.73843686000001, 101.73843686000001)",41.07275390625
26775225,1500,building,C8,residential,"(101.73854076, 101.73854076)",41.06640625
26775226,1500,building,C9,residential,"(101.73886276, 101.73886276)",41.30517578125
26775227,1500,building,C10,residential,"(101.73904175999999, 101.73904175999999)",41.3193359375
26775228,1500,building,C11,residential,"(101.7391154, 101.7391154)",32.64013671875
26775230,1500,building,C12,residential,"(101.7393002, 101.7393002)",32.64208984375
26775231,1500,building,C13,residential,"(101.73945972, 101.73945972)",30.27587890625
26775232,1500,building,C14,residential,"(101.7396592, 101.7396592)",30.2744140625
26805501,1500,building,,residential,"(101.53717446666667, 101.53717446666667)",446.0791015625
26805502,1500,building,,residential,"(101.5370843142857, 101.5370843142857)",639.1962890625
26805516,1500,building,,residential,"(101.53561903333335, 101.53561903333335)",606.8232421875
27259049,1500,building,,residential,"(101.55953192, 101.55953192)",150.982421875
27259050,1500,building,,residential,"(101.55740218571428, 101.55740218571428)",124.93994140625
27259051,1500,building,,residential,"(101.55800086000002, 101.55800086000002)",20.64404296875
27810098,1500,building,Taman Bukit Pelangi,residential,"(101.55701416000001, 101.55701416000001)",342.94677734375
27853943,1500,building,,residential,"(101.64229412, 101.64229412)",88.2001953125
28511570,1500,building,,residential,"(101.78659004000001, 101.78659004000001)",110.4814453125
28511571,1500,building,,residential,"(101.78620368000001, 101.78620368000001)",111.56396484375
28511572,1500,building,,residential,"(101.78608574, 101.78608574)",110.17333984375
34691871,1500,building,,residential,"(101.51492098000001, 101.51492098000001)",107.1220703125
34691872,1500,building,,residential,"(101.51516310000001, 101.51516310000001)",95.78173828125
34691873,1500,building,,residential,"(101.51529991999999, 101.51529991999999)",91.77099609375
44348632,1500,building,,residential,"(103.90899225384615, 103.90899225384615)",14.4599609375
44348638,1500,building,,residential,"(103.88217983170733, 103.88217983170733)",14.279296875
44628861,1500,building,,residential,"(103.76955560750002, 103.76955560750002)",79.1474609375
44628864,1500,building,,residential,"(103.76882528571429, 103.76882528571429)",56.306640625
46820920,1500,building,,residential,"(103.92814111111112, 103.92814111111112)",76.4599609375
46820966,1500,building,,residential,"(103.92874102857142, 103.92874102857142)",63.8017578125
