left,top,right,bottom,id
11151269.7411234211176634,623329.0708626243285835,11152269.7411234211176634,622329.0708626243285835,"1"
11151269.7411234211176634,622329.0708626243285835,11152269.7411234211176634,621329.0708626243285835,"2"
11151269.7411234211176634,621329.0708626243285835,11152269.7411234211176634,620329.0708626243285835,"3"
11151269.7411234211176634,620329.0708626243285835,11152269.7411234211176634,619329.0708626243285835,"4"
11151269.7411234211176634,619329.0708626243285835,11152269.7411234211176634,618329.0708626243285835,"5"
11151269.7411234211176634,618329.0708626243285835,11152269.7411234211176634,617329.0708626243285835,"6"
11151269.7411234211176634,617329.0708626243285835,11152269.7411234211176634,616329.0708626243285835,"7"
11151269.7411234211176634,616329.0708626243285835,11152269.7411234211176634,615329.0708626243285835,"8"
11151269.7411234211176634,615329.0708626243285835,11152269.7411234211176634,614329.0708626243285835,"9"
11151269.7411234211176634,614329.0708626243285835,11152269.7411234211176634,613329.0708626243285835,"10"
11151269.7411234211176634,613329.0708626243285835,11152269.7411234211176634,612329.0708626243285835,"11"
11151269.7411234211176634,612329.0708626243285835,11152269.7411234211176634,611329.0708626243285835,"12"
11151269.7411234211176634,611329.0708626243285835,11152269.7411234211176634,610329.0708626243285835,"13"
11151269.7411234211176634,610329.0708626243285835,11152269.7411234211176634,609329.0708626243285835,"14"
11151269.7411234211176634,609329.0708626243285835,11152269.7411234211176634,608329.0708626243285835,"15"
11151269.7411234211176634,608329.0708626243285835,11152269.7411234211176634,607329.0708626243285835,"16"
11151269.7411234211176634,607329.0708626243285835,11152269.7411234211176634,606329.0708626243285835,"17"
11151269.7411234211176634,606329.0708626243285835,11152269.7411234211176634,605329.0708626243285835,"18"
11151269.7411234211176634,605329.0708626243285835,11152269.7411234211176634,604329.0708626243285835,"19"
11151269.7411234211176634,604329.0708626243285835,11152269.7411234211176634,603329.0708626243285835,"20"
11151269.7411234211176634,603329.0708626243285835,11152269.7411234211176634,602329.0708626243285835,"21"
11151269.7411234211176634,602329.0708626243285835,11152269.7411234211176634,601329.0708626243285835,"22"
11151269.7411234211176634,601329.0708626243285835,11152269.7411234211176634,600329.0708626243285835,"23"
11151269.7411234211176634,600329.0708626243285835,11152269.7411234211176634,599329.0708626243285835,"24"
11151269.7411234211176634,599329.0708626243285835,11152269.7411234211176634,598329.0708626243285835,"25"
11151269.7411234211176634,598329.0708626243285835,11152269.7411234211176634,597329.0708626243285835,"26"
11151269.7411234211176634,597329.0708626243285835,11152269.7411234211176634,596329.0708626243285835,"27"
11151269.7411234211176634,596329.0708626243285835,11152269.7411234211176634,595329.0708626243285835,"28"
11151269.7411234211176634,595329.0708626243285835,11152269.7411234211176634,594329.0708626243285835,"29"
11151269.7411234211176634,594329.0708626243285835,11152269.7411234211176634,593329.0708626243285835,"30"
11151269.7411234211176634,593329.0708626243285835,11152269.7411234211176634,592329.0708626243285835,"31"
