id,name,type,area,center_lng,center_lat
0,Forest Field,apartments,941.851250354243,100.2947065375,5.4358542375
1,Park Avenue,apartments,1198.202200404172,100.29522983076923,5.434696330769231
2,,apartments,1298.9486938859768,100.2869579,5.3929569
3,,apartments,2041.1003266284583,100.28601975,5.393070625
4,,apartments,1298.708828544343,100.2861212,5.393432425
5,,apartments,1299.1176784568704,100.28690180000001,5.39372235
6,,apartments,2041.6937315954397,100.28272455000001,5.39279945
7,,apartments,1388.2640441812139,100.28428520000001,5.39322905
8,,apartments,1299.2680891131363,100.286179925,5.3926754
9,,apartments,1389.224557584224,100.28379525,5.3928774
10,,apartments,1388.4999530139003,100.28434275,5.39257225
11,1A,apartments,2041.4747940090047,100.2828188,5.392125125
12,,apartments,1388.4990910253075,100.28478975,5.39294905
13,,apartments,1906.3527602945587,100.287211375,5.393355
14,Berjaya Court,apartments,1088.453780883484,100.30891048571428,5.429765642857142
15,Kondo Berjaya,apartments,1174.6658961291935,100.3093088,5.4304091375
16,Silverton Condominium,apartments,1014.4367346602261,100.31322437499999,5.4353183000000005
17,The Regency,apartments,5093.3583613290375,100.31086557500001,5.4372188
18,N.Park Block A-B,residential,1858.1624925336923,100.30603455999999,5.35044108
19,N.Park Block C-D,residential,1804.665974095479,100.30715534,5.3502712
20,Aquarius,apartments,1947.9268194123447,100.2717586,5.4765062
21,Sea Range Tower,apartments,1368.267051355063,100.27400430000002,5.475273642857144
22,Seaview Garden,apartments,5626.668198912188,100.27295602000001,5.47556019
23,Harmony View,apartments,4946.150146862226,100.3135028,5.39903222
24,,apartments,7010.146315924218,100.296768675,5.452650175
25,Taman Kheng Tian,apartments,3488.834470075559,100.31333240000001,5.396454625
26,The Reef,apartments,3751.8626303694473,100.27009068571428,5.478081828571428
27,Menara Asas,apartments,2257.299498482575,100.28400868333334,5.464843816666668
28,Mayfair Condominium,apartments,2467.971557421166,100.32697067500001,5.424885075000001
29,Arcadia Apartment,apartments,818.8318735023367,100.31012477499999,5.434365475
30,Bellisa Court Condominium,apartments,7064.145400317406,100.31014257500001,5.43341435
31,Gurney Park Condominium,apartments,8256.826576977455,100.31040015,5.436441566666666
32,The Breeza,apartments,6876.73662135072,100.30785701666666,5.453670883333333
33,Desa Tanjung,apartments,845.7898646078944,100.30632170000001,5.451451425
